Nome,Lotação,Cargo,RemuneraçãoParadigma(1),VantagensPessoais(2),"Subs., Dif. Subs., Função Conf. ou Cargo Comis.",Indenizações(3),VantagensEventuais(4),Gratificações(5),Total deCréditos(6),PrevidênciaPública(7),Impostode Renda(8),DescontosDiversos(9),Retençãopor TetoConst.(10),Total deDébitos(11),RendimentoLíquido(12),Remuneraçãodo Órgão deorigem(13),Diárias(14)
HEVERTON RODRIGUES GOULART,VARA JUIZADO ESPEC CÍVEL E CRIM DA C DE PENÁPOLIS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30","5.702,14",,"14.588,45","18.103,45",,
ALUISIO MOREIRA BUENO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.096,48",,"43.788,38","3.025,01","6.259,33",,,"9.284,34","34.504,04",,
JAMIL CHAIM ALVES,2ª VARA DA COMARCA DE ITANHAÉM,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30","6.551,85",,"15.438,16","26.420,44",,"1.654,58"
LUIZ GUSTAVO ESTEVES,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38","14.473,77","48.613,05","4.617,12","6.259,33","444,00",,"11.320,45","37.292,60",,
ROSELI JOSE FERNANDES COUTINHO,1ª VARA DA COMARCA DE ESPÍRITO SANTO DO PINHAL,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.505,65",,,"31.631,57","2.873,85","5.472,82","111,00",,"8.457,67","23.173,90",,
ANDERSON FABRICIO DA CRUZ,FORUM DA COMARCA DE SÃO BERNARDO DO CAMPO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"6.678,13","11.096,48",,"45.274,78","3.025,01","6.207,20",,,"9.232,21","36.042,57",,
MARIANA TONOLI ANGELI,1ª VARA DA COMARCA DE JARDINÓPOLIS,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.524,95","74,00",,"8.472,80","22.844,85",,
RAFAEL BRAGAGNOLO TAKEJIMA,3ª VARA CÍVEL DA COMARCA DE PRAIA GRANDE,Juiz de Direito de Entrância Final,"28.947,55",,,"26.849,02","8.819,28",,"64.615,85","3.184,23","6.215,55",,,"9.399,78","55.216,07",,
MATEUS VELOSO RODRIGUES FILHO,2ª VARA DA COMARCA DE CAMPOS DO JORDÃO,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","8.708,60",,"40.026,25","2.873,85","5.420,68","37,00",,"8.331,53","31.694,72",,"5.791,03"
RAPHAEL ERNANE NEVES,1ª VARA DA COMARCA DE REGISTRO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","10.694,45",,"43.386,35","3.025,01","5.861,30","5.893,98",,"14.780,29","28.606,06",,
EDUARDO LUIZ DE ABREU COSTA,VARA CRIMINAL DA COMARCA DE OLÍMPIA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"32.236,35",,,"59.736,52","3.025,01","5.861,30",,,"8.886,31","50.850,21",,
RENATO SOARES DE MELO FILHO,3ª VARA CÍVEL DA COMARCA DE FERNANDÓPOLIS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","15.125,06",,"47.816,96","3.025,01","5.861,30","37,00",,"8.923,31","38.893,65",,
ROSEANE CRISTINA DE AGUIAR ALMEIDA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"814,00","11.096,48",,"39.410,65","3.025,01","6.259,33","185,00",,"9.469,34","29.941,31",,
BRUNA MARCHESE E SILVA,2ª VARA DA COMARCA DE ESPÍRITO SANTO DO PINHAL,Juiz de Direito de Entrância Inicial,"26.125,92",,,"8.761,73",,,"34.887,65","2.873,85","5.524,95",,,"8.398,80","26.488,85",,
RENATO HASEGAWA LOUSANO,1ª VARA DA COMARCA DE ITAPEVA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.412,89","9.166,70",,"42.079,76","3.025,01","5.861,30",,,"8.886,31","33.193,45",,"2.382,87"
JOICE SOFIATI SALGADO,2ª VARA DA COMARCA DE JARDINÓPOLIS,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.524,95","185,00",,"8.583,80","22.733,85",,
AYRTON VIDOLIN MARQUES JUNIOR,1ª VARA CÍVEL DA COMARCA DE CARAGUATATUBA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30","111,00",,"8.997,31","23.694,59",,
LEONARDO LABRIOLA FERREIRA MENINO,FORUM DA COMARCA DE SANTA CRUZ DO RIO PARDO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"6.102,97","9.166,70",,"42.769,84","3.025,01","5.861,30","37,00",,"8.923,31","33.846,53",,"6.204,68"
PRISCILLA BUSO FACCINETTO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
RODRIGO MARCOS DE ALMEIDA GERALDES,2ª VARA DA COMARCA DE FRANCISCO MORATO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30","148,00",,"9.034,31","32.824,29",,
ANA LUCIA GRANZIOL,2ª VARA CRIMINAL DA COMARCA DE LINS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30",,,"8.886,31","23.805,59",,
HEBER GUALBERTO MENDONCA,4ª VARA DA COMARCA DE PENÁPOLIS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30","1.026,58",,"9.912,89","22.779,01",,
ADRIANA BRANDINI DO AMPARO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
LUCIANA CONTI PUIA TODOROV,FORUM DA COMARCA DE URUPÊS,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.524,95","740,00",,"9.138,80","22.178,85",,
MARCO AURELIO GONCALVES,FORUM DA COMARCA DE SÃO JOSÉ DO RIO PRETO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"6.429,45","1.447,38",,"35.377,00","3.025,01","6.102,92","6.936,87",,"16.064,80","19.312,20",,"6.204,68"
VALMIR MAURICI JUNIOR,2ª VARA CÍVEL DA COMARCA DE POÁ,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","6.875,03",,"39.566,93","3.025,01","5.861,30","4.485,62",,"13.371,93","26.195,00",,
JULIO DA SILVA BRANCHINI,FORUM DA COMARCA DE CAÇAPAVA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30",,,"8.886,31","32.972,29",,
LUIZ FERNANDO SILVA OLIVEIRA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","30.394,68",,"63.086,58","3.025,01","6.207,20",,,"9.232,21","53.854,37",,
ALEXANDRO CONCEICAO DOS SANTOS,2ª VARA CÍVEL DA COMARCA DE LORENA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.704,89","5.950,40",,"14.680,30","27.178,30",,
SERGIO CEDANO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.207,20","37,00",,"9.269,21","24.870,07",,
ADILSON RUSSO DE MORAES,2ª VARA CÍVEL DA COMARCA DE ASSIS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30","296,00",,"9.182,31","32.676,29",,"5.532,03"
ADRIANA BERTIER BENEDITO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"10.171,50","11.096,48",,"48.768,15","3.025,01","6.207,20","1.297,41",,"10.529,62","38.238,53",,
PRISCILLA MARIA BASSETO AVALLONE FARAH,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
MARIA SILVIA GABRIELLONI FEICHTENBERGER,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33","74,00",,"9.358,34","24.780,94",,
EDSON NAKAMATU,FORUM DA COMARCA DE SÃO BERNARDO DO CAMPO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.096,48",,"43.788,38","3.025,01","6.259,33",,,"9.284,34","34.504,04",,
RAFAEL VIEIRA PATARA,3ª VARA DA COMARCA DE ITANHAÉM,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30","2.087,47",,"10.973,78","30.884,82",,"3.309,16"
LUIS FERNANDO DECOUSSAU MACHADO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"814,00","10.614,03",,"38.928,20","3.025,01","6.259,33","296,00",,"9.580,34","29.347,86",,
LIGIA MARIA TEGAO NAVE,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","4.663,76",,"37.355,66","3.025,01","6.259,33",,,"9.284,34","28.071,32",,
ARNALDO LUIZ ZASSO VALDERRAMA,1ª VARA CRIMINAL DA COMARCA DE FERNANDÓPOLIS,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.757,03",,,"8.782,04","33.076,56",,
FABIO BERNARDES DE OLIVEIRA FILHO,VARA JUIZ ESPEC CÍVL E CRIM DA C DE CARAGUATATUBA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30",,,"8.886,31","23.805,59",,
JOSE LUIZ MONACO DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.063,14",,"5.213,23",,"16.538,31","60.285,79","5.457,63","6.965,45","449,98",,"12.873,06","47.412,73",,
ANA RITA DE FIGUEIREDO NERY,FORUM DA COMARCA DE GUARULHOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"6.758,85","1.447,38",,"35.706,40","3.025,01","6.259,33","37,00",,"9.321,34","26.385,06",,
GUILHERME LOPES ALVES LAMAS,FORUM DA COMARCA DE LIMEIRA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"6.402,47","5.307,02",,"39.209,66","3.025,01","6.259,33",,,"9.284,34","29.925,32",,"12.039,35"
BAIARDO DE BRITO PEREIRA JUNIOR,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33","37,00",,"9.321,34","24.817,94",,
FREDERICO LOPES AZEVEDO,2ª VARA CÍVEL DA COMARCA DE BRAGANÇA PAULISTA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.757,03",,,"8.782,04","33.076,56",,
AYMAN RAMADAN,FORUM DA COMARCA DE MONTE AZUL PAULISTA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"20.293,77","8.708,60",,"55.128,29","2.873,85","5.524,95","555,00",,"8.953,80","46.174,49",,"6.322,32"
RAFAEL CARVALHO DE SA RORIZ,VARA JÚRI EXEC CRIM INFÂN E JUVENT C DE F DA ROCHA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30","37,00",,"8.923,31","23.768,59",,
EVARISTO SOUZA DA SILVA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","15.921,03",,"48.612,93","3.025,01","6.259,33",,,"9.284,34","39.328,59",,
LUIZ FELLIPPE DE SOUZA MARINO,FORUM DA COMARCA DE SÃO JOSÉ DOS CAMPOS,Juiz Substituto,"24.818,71",,,"5.841,43","8.272,90",,"38.933,04","2.730,05","5.100,74",,,"7.830,79","31.102,25",,"3.951,45"
NAIRA BLANCO MACHADO,1ª VARA F D DE ARUJÁ DA COMARCA DE SANTA ISABEL,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.861,30","74,00",,"8.960,31","23.731,59",,
HENRIQUE MAUL BRASILIO DE SOUZA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.096,48",,"43.788,38","3.025,01","6.259,33","213,51",,"9.497,85","34.290,53",,
FERNANDA SALVADOR VEIGA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
LIVIA MARIA DE OLIVEIRA COSTA,FORUM DA COMARCA DE SANTOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.463,73","1.447,38",,"34.411,28","3.025,01","6.259,33",,,"9.284,34","25.126,94",,"6.346,32"
CARLOS ALEXANDRE AIBA AGUEMI,3ª VARA CÍVEL DA COMARCA DE COTIA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","12.061,39",,"44.753,29","3.025,01","6.207,20",,,"9.232,21","35.521,08",,
JOSE ALFREDO DE ANDRADE FILHO,FORUM DA COMARCA DE SANTA CRUZ DAS PALMEIRAS,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.274,57",,,"31.400,49","2.873,85","5.524,95","37,00",,"8.435,80","22.964,69",,"1.580,58"
JAMIL NAKAD JUNIOR,FORUM DA COMARCA DE GUARULHOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
CARLOS EDUARDO MONTES NETTO,FORUM DA COMARCA DE SÃO CARLOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"30.010,44","1.398,96",,"58.909,57","3.025,01","6.246,02","4.862,09",,"14.133,12","44.776,45",,
SERGIO AUGUSTO DUARTE MOREIRA,VARA CRIMINAL COMARCA COTIA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","5.588,31","2.440,10",,"11.053,42","23.085,86",,
ROGE NAIM TENN,1ª VARA CÍVEL DA COMARCA DE SÃO ROQUE,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.592,85",,,"33.093,02","3.025,01","5.861,30",,,"8.886,31","24.206,71",,
MURILLO D AVILA VIANNA COTRIM,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
FERNANDO BALDI MARCHETTI,FORUM DA COMARCA DE VALPARAÍSO,Juiz de Direito de Entrância Inicial,"26.125,92",,,"6.765,69","8.708,60","13.062,96","54.663,17","4.310,77","5.524,95","74,00",,"9.909,72","44.753,45",,"6.352,68"
LUIS FILIPE VIZOTTO GOMES,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"814,00","1.447,38",,"29.761,55","3.025,01","6.259,33",,,"9.284,34","20.477,21",,
MARIO YAMADA FILHO,FORUM DA COMARCA DE GÁLIA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.420,68",,,"8.294,53","23.023,12",,
FABIANO RODRIGUES CREPALDI,FORUM DA COMARCA DE NOVA GRANADA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.420,68","222,00",,"8.516,53","22.801,12",,"1.654,58"
DOUGLAS BORGES DA SILVA,FORUM DA COMARCA DE SÃO JOSÉ DO RIO PRETO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"6.325,33","10.565,66",,"44.391,16","3.025,01","6.246,02","74,00",,"9.345,03","35.046,13",,"6.204,68"
THIAGO HENRIQUE TELES LOPES,FORUM DA COMARCA DE CAMPINAS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"32.038,44","10.565,66","14.473,77","84.578,04","4.617,12","6.246,02","407,00",,"11.270,14","73.307,90",,"3.043,52"
FERNANDA YUMI FURUKAWA HATA,1ª VARA DA COMARCA DE SOCORRO,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.524,95",,,"8.398,80","22.918,85",,
JULIANA MORAIS BICUDO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33","370,00",,"9.654,34","24.484,94",,
LUIS GONCALVES DA CUNHA JUNIOR,2ª VARA DA COMARCA DE MONTE APRAZÍVEL,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,"13.062,96","44.380,61","4.310,77","5.524,95",,,"9.835,72","34.544,89",,
PATRICIA COTRIM VALERIO,1ª VARA DA COMARCA DE SANTA ISABEL,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.641,03",,,"31.766,95","2.873,85","5.524,95",,,"8.398,80","23.368,15",,
JULIANA MORAES CORREGIARI BEI,F D DE RIO GRANDE DA SERRA DA C DE RIBEIRÃO PIRES,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.420,68","148,00",,"8.442,53","22.875,12",,
CINARA PALHARES,FORUM DA COMARCA DE SANTANA DO PARNAIBA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"13.048,73",,,"39.174,65","2.873,85","5.524,95","4.237,75",,"12.636,55","26.538,10",,"31.023,40"
ALEXANDRE YURI KIATAQUI,2ª VARA DA COMARCA DE JALES,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.326,89","9.624,80",,"42.451,86","3.019,95","5.797,89","5.391,51",,"14.209,35","28.242,51",,"1.580,58"
ANDRE FORATO ANHE,3ª VARA F D DE FERRAZ DE VASCONCELOS DA C DE POÁ,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.963,73","6.875,03",,"40.338,93","3.025,01","5.861,30",,,"8.886,31","31.452,62",,
FABIO IN SUK CHANG,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
CINTHIA ELIAS DE ALMEIDA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33","370,00",,"9.654,34","24.484,94",,
EDSON LOPES FILHO,1ª VARA CÍVEL DA COMARCA DE AVARÉ,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"7.589,57","9.166,70",,"44.256,44","3.025,01","5.861,30","185,00",,"9.071,31","35.185,13",,"10.305,77"
MARIA CLAUDIA MOUTINHO RIBEIRO,FORUM DA COMARCA DE JUNDIAÍ,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","10.614,08",,"43.305,98","3.025,01","6.259,33","481,00",,"9.765,34","33.540,64",,
PATRICIA NAHA,FORUM DA COMARCA DE SANTOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
MARIANA DALLA BERNARDINA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
FRANCISCO JOSE BLANCO MAGDALENA,FORUM DA COMARCA DE CAMPINAS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.810,85","3.787,18",,"37.098,20","3.025,01","6.207,20",,,"9.232,21","27.865,99",,"3.161,16"
GLARISTON RESENDE,2ª VARA CÍVEL DA COMARCA DE IBITINGA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30","2.597,43",,"11.483,74","30.374,86",,
FILIPE ANTONIO MARCHI LEVADA,2ª VARA DO F D DE CAJAMAR DA C JUNDIAÍ,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30",,,"8.886,31","32.972,29",,
RAFAEL DA CRUZ GOUVEIA LINARDI,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.096,48",,"43.788,38","3.025,01","6.259,33",,,"9.284,34","34.504,04",,
EDUARDO RUIVO NICOLAU,FORUM DA COMARCA DE PRAIA GRANDE,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"814,00","1.447,38",,"29.761,55","3.025,01","6.259,33",,,"9.284,34","20.477,21",,
ROGERIO DE CAMARGO ARRUDA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"1.378,30","1.447,38",,"30.325,85","3.025,01","6.259,33","74,00",,"9.358,34","20.967,51",,
ALEXANDRE VICIOLI,1ª VARA DA COMARCA DE BARRA BONITA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","5.666,41",,"36.984,06","2.873,85","5.420,68",,,"8.294,53","28.689,53",,"1.654,58"
LUCAS PEREIRA MORAES GARCIA,3ª VARA DA COMARCA DE ITAPECERICA DA SERRA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","9.166,70",,"41.858,60","3.025,01","5.861,30","5.381,59",,"14.267,90","27.590,70",,
THIAGO MASSAO CORTIZO TERAOKA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.320,53","4.342,11",,"37.162,81","3.025,01","6.259,33","185,00",,"9.469,34","27.693,47",,
LEOPOLDO VILELA DE ANDRADE DA SILVA COSTA,FORUM DA COMARCA DE COLINA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","8.708,60",,"40.026,25","2.873,85","5.524,95",,,"8.398,80","31.627,45",,
MARCIA YOSHIE ISHIKAWA,2ª VARA DA COMARCA DE CAPIVARI,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,"13.062,96","44.380,61","4.310,77","5.524,95",,,"9.835,72","34.544,89",,
DJALMA MOREIRA GOMES JUNIOR,2ª VARA DA COMARCA DE MOCOCA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"6.588,53","9.166,70",,"43.255,40","3.025,01","5.861,30","4.408,75",,"13.295,06","29.960,34",,"14.891,22"
DIOGO VOLPE GONCALVES SOARES,3ª VARA DA COMARCA DE UBATUBA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"6.015,77",,,"33.515,94","3.025,01","5.757,03",,,"8.782,04","24.733,90",,"5.791,03"
RICARDO AUGUSTO RAMOS,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33","407,00",,"9.691,34","24.447,94",,
RAFAEL RAUCH,1ª VARA CÍVEL DA COMARCA DE TABOÃO DA SERRA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","11.096,48",,"43.788,38","3.025,01","6.259,33","296,00",,"9.580,34","34.208,04",,
RENATA VERGARA EMMERICH DE SOUZA,FORUM DA COMARCA DE GUARULHOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33","5.522,43",,"14.806,77","19.332,51",,
PAULO BERNARDI BACCARAT,FORUM DA COMARCA DE GUARULHOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","20.745,66",,"53.437,56","3.025,01","8.043,49",,,"11.068,50","42.369,06",,
FABIO ANTONIO CAMARGO DANTAS,2ª VARA DA COMARCA DE CRUZEIRO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73",,,"32.691,90","3.025,01","5.757,03","37,00",,"8.819,04","23.872,86",,
JOSE LUIS PEREIRA ANDRADE,3ª VARA DA COMARCA DE LENÇÓIS PAULISTA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.420,68","185,00",,"8.479,53","22.838,12",,
MARINA SILOS DE ARAUJO,1ª VARA DA COMARCA DE VARGEM GRANDE DO SUL,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73",,,"31.317,65","2.873,85","5.524,95",,,"8.398,80","22.918,85",,"1.654,58"
CLAUDIO CAMPOS DA SILVA,1ª VARA DA COMARCA DE SALTO,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","17.110,95",,"49.802,85","3.025,01","7.176,62","111,00",,"10.312,63","39.490,22",,
MATHEUS DE SOUZA PARDUCCI CAMARGO,2ª VARA DA COMARCA DE IGARAPAVA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"9.185,27","8.708,60",,"44.019,79","2.873,85","5.524,95",,,"8.398,80","35.620,99",,
LEONARDO FERNANDO DE SOUZA ALMEIDA,FORUM DA COMARCA DE SÃO BERNARDO DO CAMPO,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","11.096,48",,"43.788,38","3.025,01","6.259,33","74,00",,"9.358,34","34.430,04",,
CARLA SANTOS BALESTRERI,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33",,,"9.284,34","24.854,94",,
VIVIANE CRISTINA PARIZOTTO FERREIRA,FORUM DA COMARCA DE SANTOANASTÁCIO,Juiz de Direito de Entrância Inicial,"26.125,92",,,"814,00","8.708,60",,"35.648,52","2.873,85","5.524,95","74,00",,"8.472,80","27.175,72",,
DOMICIO WHATELY PACHECO E SILVA,TRIBUNAL DE JUSTIÇA,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"9.090,23","5.947,05",,"42.537,45","3.025,01","6.259,33","37,00",,"9.321,34","33.216,11",,
MARCELO MACHADO DA SILVA,4ª VARA CÍVEL DA COMARCA DE GUARUJÁ,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.155,06",,,"9.180,07","24.959,21",,
ANTONIO CARLOS LOMBARDI DE SOUZA PINTO,FORUM DA COMARCA DE TAUBATÉ,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"7.911,73","10.614,08",,"46.025,98","3.025,01","6.259,33",,,"9.284,34","36.741,64",,
